date,article,sales,revenue,avg_price,weekday,month,is_public_holiday,lag_1,lag_7
2021-01-02,BAGUETTE,46.0,41.4,0.9,5,1,False,0.0,0.0
2021-01-03,BAGUETTE,36.0,32.4,0.8999999999999999,6,1,False,46.0,0.0
2021-01-04,BAGUETTE,30.0,27.0,0.9,0,1,False,36.0,0.0
2021-01-05,BAGUETTE,29.0,26.1,0.9,1,1,False,30.0,0.0
2021-01-06,BAGUETTE,0.0,0.0,,2,1,False,29.0,0.0
2021-01-07,BAGUETTE,28.0,25.2,0.9,3,1,False,0.0,0.0
2021-01-08,BAGUETTE,17.0,15.3,0.9,4,1,False,28.0,0.0
2021-01-09,BAGUETTE,25.0,22.5,0.9,5,1,False,17.0,46.0
2021-01-10,BAGUETTE,36.0,32.4,0.8999999999999999,6,1,False,25.0,36.0
2021-01-11,BAGUETTE,31.0,27.900000000000002,0.9,0,1,False,36.0,30.0
2021-01-12,BAGUETTE,29.0,26.1,0.9,1,1,False,31.0,29.0
2021-01-13,BAGUETTE,0.0,0.0,,2,1,False,29.0,0.0
2021-01-14,BAGUETTE,24.0,21.6,0.9,3,1,False,0.0,28.0
2021-01-15,BAGUETTE,19.0,17.1,0.9,4,1,False,24.0,17.0
2021-01-16,BAGUETTE,28.0,25.2,0.9,5,1,False,19.0,25.0
2021-01-17,BAGUETTE,37.0,33.300000000000004,0.9000000000000001,6,1,False,28.0,36.0
2021-01-18,BAGUETTE,27.0,24.3,0.9,0,1,False,37.0,31.0
2021-01-19,BAGUETTE,21.0,18.900000000000002,0.9000000000000001,1,1,False,27.0,29.0
2021-01-20,BAGUETTE,0.0,0.0,,2,1,False,21.0,0.0
2021-01-21,BAGUETTE,22.0,19.8,0.9,3,1,False,0.0,24.0
2021-01-22,BAGUETTE,28.0,25.2,0.9,4,1,False,22.0,19.0
2021-01-23,BAGUETTE,28.0,25.200000000000003,0.9000000000000001,5,1,False,28.0,28.0
2021-01-24,BAGUETTE,35.0,31.5,0.9,6,1,False,28.0,37.0
2021-01-25,BAGUETTE,24.0,21.6,0.9,0,1,False,35.0,27.0
2021-01-26,BAGUETTE,34.0,30.6,0.9,1,1,False,24.0,21.0
2021-01-27,BAGUETTE,0.0,0.0,,2,1,False,34.0,0.0
2021-01-28,BAGUETTE,18.0,16.2,0.8999999999999999,3,1,False,0.0,22.0
2021-01-29,BAGUETTE,27.0,24.3,0.9,4,1,False,18.0,28.0
2021-01-30,BAGUETTE,34.0,30.6,0.9,5,1,False,27.0,28.0
2021-01-31,BAGUETTE,30.0,27.0,0.9,6,1,False,34.0,35.0
2021-02-01,BAGUETTE,15.0,13.5,0.9,0,2,False,30.0,24.0
2021-02-02,BAGUETTE,24.0,21.6,0.9,1,2,False,15.0,34.0
2021-02-03,BAGUETTE,0.0,0.0,,2,2,False,24.0,0.0
2021-02-04,BAGUETTE,26.0,23.400000000000002,0.9000000000000001,3,2,False,0.0,18.0
2021-02-05,BAGUETTE,30.0,27.0,0.9,4,2,False,26.0,27.0
2021-02-06,BAGUETTE,20.0,18.0,0.9,5,2,False,30.0,34.0
2021-02-07,BAGUETTE,30.0,27.0,0.9,6,2,False,20.0,30.0
2021-02-08,BAGUETTE,22.0,19.8,0.9,0,2,False,30.0,15.0
2021-02-09,BAGUETTE,30.0,27.0,0.9,1,2,False,22.0,24.0
2021-02-10,BAGUETTE,0.0,0.0,,2,2,False,30.0,0.0
2021-02-11,BAGUETTE,17.0,15.3,0.9,3,2,False,0.0,26.0
2021-02-12,BAGUETTE,18.0,16.2,0.8999999999999999,4,2,False,17.0,30.0
2021-02-13,BAGUETTE,27.0,24.3,0.9,5,2,False,18.0,20.0
2021-02-14,BAGUETTE,50.0,45.0,0.9,6,2,False,27.0,30.0
2021-02-15,BAGUETTE,25.0,22.5,0.9,0,2,False,50.0,22.0
2021-02-16,BAGUETTE,22.0,19.8,0.9,1,2,False,25.0,30.0
2021-02-17,BAGUETTE,0.0,0.0,,2,2,False,22.0,0.0
2021-02-18,BAGUETTE,33.0,29.700000000000003,0.9000000000000001,3,2,False,0.0,17.0
2021-02-19,BAGUETTE,28.0,25.2,0.9,4,2,False,33.0,18.0
2021-02-20,BAGUETTE,28.0,25.2,0.9,5,2,False,28.0,27.0
2021-02-21,BAGUETTE,54.0,48.6,0.9,6,2,False,28.0,50.0
2021-02-22,BAGUETTE,49.0,44.1,0.9,0,2,False,54.0,25.0
2021-02-23,BAGUETTE,32.0,28.8,0.9,1,2,False,49.0,22.0
2021-02-24,BAGUETTE,0.0,0.0,,2,2,False,32.0,0.0
2021-02-25,BAGUETTE,36.0,32.4,0.8999999999999999,3,2,False,0.0,33.0
2021-02-26,BAGUETTE,31.0,27.900000000000002,0.9,4,2,False,36.0,28.0
2021-02-27,BAGUETTE,54.0,48.6,0.9,5,2,False,31.0,28.0
2021-02-28,BAGUETTE,75.0,67.5,0.9,6,2,False,54.0,54.0
2021-03-01,BAGUETTE,36.0,32.4,0.8999999999999999,0,3,False,75.0,49.0
2021-03-02,BAGUETTE,31.0,27.900000000000002,0.9,1,3,False,36.0,32.0
2021-03-03,BAGUETTE,0.0,0.0,,2,3,False,31.0,0.0
2021-03-04,BAGUETTE,39.0,35.1,0.9,3,3,False,0.0,36.0
2021-03-05,BAGUETTE,44.0,39.6,0.9,4,3,False,39.0,31.0
2021-03-06,BAGUETTE,48.0,43.2,0.9,5,3,False,44.0,54.0
2021-03-07,BAGUETTE,49.0,44.1,0.9,6,3,False,48.0,75.0
2021-03-08,BAGUETTE,21.0,18.9,0.8999999999999999,0,3,False,49.0,36.0
2021-03-09,BAGUETTE,36.0,32.4,0.8999999999999999,1,3,False,21.0,31.0
2021-03-10,BAGUETTE,0.0,0.0,,2,3,False,36.0,0.0
2021-03-11,BAGUETTE,23.0,20.7,0.9,3,3,False,0.0,39.0
2021-03-12,BAGUETTE,35.0,31.5,0.9,4,3,False,23.0,44.0
2021-03-13,BAGUETTE,35.0,31.5,0.9,5,3,False,35.0,48.0
2021-03-14,BAGUETTE,48.0,43.2,0.9,6,3,False,35.0,49.0
2021-03-15,BAGUETTE,29.0,26.1,0.9,0,3,False,48.0,21.0
2021-03-16,BAGUETTE,26.0,23.4,0.8999999999999999,1,3,False,29.0,36.0
2021-03-17,BAGUETTE,0.0,0.0,,2,3,False,26.0,0.0
2021-03-18,BAGUETTE,19.0,17.1,0.9,3,3,False,0.0,23.0
2021-03-19,BAGUETTE,28.0,25.2,0.9,4,3,False,19.0,35.0
2021-03-20,BAGUETTE,41.0,36.9,0.8999999999999999,5,3,False,28.0,35.0
2021-03-21,BAGUETTE,38.0,34.2,0.9,6,3,False,41.0,48.0
2021-03-22,BAGUETTE,24.0,21.6,0.9,0,3,False,38.0,29.0
2021-03-23,BAGUETTE,23.0,20.7,0.9,1,3,False,24.0,26.0
2021-03-24,BAGUETTE,0.0,0.0,,2,3,False,23.0,0.0
2021-03-25,BAGUETTE,25.0,22.5,0.9,3,3,False,0.0,19.0
2021-03-26,BAGUETTE,34.0,30.6,0.9,4,3,False,25.0,28.0
2021-03-27,BAGUETTE,39.0,35.1,0.9,5,3,False,34.0,41.0
2021-03-28,BAGUETTE,49.0,44.1,0.9,6,3,False,39.0,38.0
2021-03-29,BAGUETTE,45.0,40.5,0.9,0,3,False,49.0,24.0
2021-03-30,BAGUETTE,30.0,27.0,0.9,1,3,False,45.0,23.0
2021-03-31,BAGUETTE,0.0,0.0,,2,3,False,30.0,0.0
2021-04-01,BAGUETTE,29.0,26.1,0.9,3,4,False,0.0,25.0
2021-04-02,BAGUETTE,35.0,31.5,0.9,4,4,False,29.0,34.0
2021-04-03,BAGUETTE,36.0,32.4,0.8999999999999999,5,4,False,35.0,39.0
2021-04-04,BAGUETTE,87.27999999999997,78.55199999999998,0.9,6,4,False,36.0,49.0
2021-04-05,BAGUETTE,44.0,39.6,0.9,0,4,True,91.0,45.0
2021-04-06,BAGUETTE,29.0,26.1,0.9,1,4,False,44.0,30.0
2021-04-07,BAGUETTE,0.0,0.0,,2,4,False,29.0,0.0
2021-04-08,BAGUETTE,31.0,27.900000000000002,0.9,3,4,False,0.0,29.0
2021-04-09,BAGUETTE,26.0,23.4,0.8999999999999999,4,4,False,31.0,35.0
2021-04-10,BAGUETTE,32.0,28.8,0.9,5,4,False,26.0,36.0
2021-04-11,BAGUETTE,53.0,47.7,0.9,6,4,False,32.0,91.0
2021-04-12,BAGUETTE,31.0,27.900000000000002,0.9,0,4,False,53.0,44.0
2021-04-13,BAGUETTE,29.0,26.1,0.9,1,4,False,31.0,29.0
